age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose,risk,credit_per_month,age_risk_band,job_stability,housing_stability,has_saving_account,has_checking_account
67,male,2,own,unknown,little,1169,6,radio/TV,0,194.83333333333334,senior,1,1,0,1
22,female,2,own,little,moderate,5951,48,radio/TV,1,123.97916666666667,young,1,1,1,1
49,male,1,own,little,unknown,2096,12,education,0,174.66666666666666,mature,0,1,1,0
45,male,2,free,little,little,7882,42,furniture/equipment,0,187.66666666666666,mature,1,0,1,1
53,male,2,free,little,little,4870,24,car,1,202.91666666666666,mature,1,0,1,1
35,male,1,free,unknown,unknown,9055,36,education,0,251.52777777777777,mature,0,0,0,0
53,male,2,own,quite rich,unknown,2835,24,furniture/equipment,0,118.125,mature,1,1,1,0
35,male,3,rent,little,moderate,6948,36,car,0,193.0,mature,1,0,1,1
61,male,1,own,rich,unknown,3059,12,radio/TV,0,254.91666666666666,senior,0,1,1,0
28,male,3,own,little,moderate,5234,30,car,1,174.46666666666667,mature,1,1,1,1
25,female,2,rent,little,moderate,1295,12,car,1,107.91666666666667,mature,1,0,1,1
24,female,2,rent,little,little,4308,48,business,1,89.75,young,1,0,1,1
22,female,2,own,little,moderate,1567,12,radio/TV,0,130.58333333333334,young,1,1,1,1
60,male,1,own,little,little,1199,24,car,1,49.958333333333336,mature,0,1,1,1
28,female,2,rent,little,little,1403,15,car,0,93.53333333333333,mature,1,0,1,1
32,female,1,own,moderate,little,1282,24,radio/TV,1,53.416666666666664,mature,0,1,1,1
53,male,2,own,unknown,unknown,2424,24,radio/TV,0,101.0,mature,1,1,0,0
25,male,2,own,unknown,little,8072,30,business,0,269.06666666666666,mature,1,1,0,1
44,female,3,free,little,moderate,12579,24,car,1,524.125,mature,1,0,1,1
31,male,2,own,quite rich,unknown,3430,24,radio/TV,0,142.91666666666666,mature,1,1,1,0
48,male,2,own,little,unknown,2134,9,car,0,237.11111111111111,mature,1,1,1,0
44,male,2,rent,quite rich,little,2647,6,radio/TV,0,441.1666666666667,mature,1,0,1,1
48,male,1,rent,little,little,2241,10,car,0,224.1,mature,0,0,1,1
44,male,2,own,moderate,moderate,1804,12,car,0,150.33333333333334,mature,1,1,1,1
26,male,2,own,unknown,unknown,2069,10,furniture/equipment,0,206.9,mature,1,1,0,0
36,male,1,own,little,little,1374,6,furniture/equipment,0,229.0,mature,0,1,1,1
39,male,1,own,little,unknown,426,6,radio/TV,0,71.0,mature,0,1,1,0
42,female,2,rent,rich,rich,409,12,radio/TV,0,34.083333333333336,mature,1,0,1,1
34,male,2,own,little,moderate,2415,7,radio/TV,0,345.0,mature,1,1,1,1
63,male,2,own,little,little,6836,60,business,1,113.93333333333334,senior,1,1,1,1
36,male,2,own,rich,moderate,1913,18,business,0,106.27777777777777,mature,1,1,1,1
27,male,2,own,little,little,4020,24,furniture/equipment,0,167.5,mature,1,1,1,1
30,male,2,own,moderate,moderate,5866,18,car,0,325.8888888888889,mature,1,1,1,1
57,male,1,rent,unknown,unknown,1264,12,business,0,105.33333333333333,mature,0,0,0,0
33,female,3,own,little,rich,1474,12,furniture/equipment,0,122.83333333333333,mature,1,1,1,1
25,male,1,own,little,moderate,4746,45,radio/TV,1,105.46666666666667,mature,0,1,1,1
31,male,2,free,little,unknown,6110,48,education,0,127.29166666666667,mature,1,0,1,0
37,male,2,own,little,rich,2100,18,radio/TV,1,116.66666666666667,mature,1,1,1,1
37,male,2,own,little,rich,1225,10,domestic appliances,0,122.5,mature,1,1,1,1
24,male,2,own,little,moderate,458,9,radio/TV,0,50.888888888888886,young,1,1,1,1
30,male,3,own,quite rich,unknown,2333,30,radio/TV,0,77.76666666666667,mature,1,1,1,0
26,male,2,own,quite rich,moderate,1158,12,radio/TV,0,96.5,mature,1,1,1,1
44,male,1,own,little,moderate,6204,18,repairs,0,344.6666666666667,mature,0,1,1,1
24,male,2,rent,moderate,little,6187,30,car,0,206.23333333333332,young,1,0,1,1
58,female,1,free,little,little,6143,48,car,1,127.97916666666667,mature,0,0,1,1
35,female,3,own,little,unknown,1393,11,car,0,126.63636363636364,mature,1,1,1,0
39,male,2,own,quite rich,unknown,2299,36,radio/TV,0,63.861111111111114,mature,1,1,1,0
23,female,0,rent,quite rich,little,1352,6,car,0,225.33333333333334,young,0,0,1,1
39,male,1,own,little,unknown,7228,11,car,0,657.0909090909091,mature,0,1,1,0
28,female,2,own,moderate,unknown,2073,12,radio/TV,0,172.75,mature,1,1,1,0
29,male,1,own,unknown,moderate,2333,24,furniture/equipment,0,97.20833333333333,mature,0,1,0,1
30,male,3,own,little,moderate,5965,27,car,0,220.92592592592592,mature,1,1,1,1
25,male,2,own,little,unknown,1262,12,radio/TV,0,105.16666666666667,mature,1,1,1,0
31,male,2,own,unknown,unknown,3378,18,car,0,187.66666666666666,mature,1,1,0,0
57,male,2,free,little,moderate,2225,36,car,1,61.80555555555556,mature,1,0,1,1
26,male,1,own,unknown,unknown,783,6,car,0,130.5,mature,0,1,0,0
52,male,3,own,unknown,moderate,6468,12,radio/TV,1,539.0,mature,1,1,0,1
31,female,2,own,little,unknown,9566,36,radio/TV,0,265.72222222222223,mature,1,1,1,0
23,female,3,own,little,rich,1961,18,car,0,108.94444444444444,young,1,1,1,1
23,female,1,rent,little,little,6229,36,furniture/equipment,1,173.02777777777777,young,0,0,1,1
27,male,2,own,little,moderate,1391,9,business,0,154.55555555555554,mature,1,1,1,1
50,male,2,own,unknown,moderate,1537,15,radio/TV,0,102.46666666666667,mature,1,1,0,1
61,male,3,free,little,moderate,1953,36,business,1,54.25,senior,1,0,1,1
25,male,2,own,little,moderate,14421,48,business,1,300.4375,mature,1,1,1,1
26,female,2,own,little,unknown,3181,24,radio/TV,0,132.54166666666666,mature,1,1,1,0
48,male,2,own,unknown,unknown,5190,27,repairs,0,192.22222222222223,mature,1,1,0,0
29,female,2,own,little,unknown,2171,12,radio/TV,0,180.91666666666666,mature,1,1,1,0
22,male,2,own,rich,moderate,1007,12,car,0,83.91666666666667,young,1,1,1,1
37,male,2,free,little,unknown,1819,36,education,1,50.52777777777778,mature,1,0,1,0
25,female,2,own,unknown,unknown,2394,36,radio/TV,0,66.5,mature,1,1,0,0
30,female,2,own,little,unknown,8133,36,car,0,225.91666666666666,mature,1,1,1,0
46,male,1,rent,unknown,unknown,730,7,radio/TV,0,104.28571428571429,mature,0,0,0,0
51,male,3,free,little,little,1164,8,vacation/others,0,145.5,mature,1,0,1,1
41,female,1,own,little,moderate,5954,42,business,0,141.76190476190476,mature,0,1,1,1
40,male,3,own,unknown,little,1977,36,education,1,54.916666666666664,mature,1,1,0,1
66,male,3,free,little,little,1526,12,car,0,127.16666666666667,senior,1,0,1,1
34,male,2,own,little,little,3965,42,radio/TV,1,94.4047619047619,mature,1,1,1,1
51,male,2,own,little,moderate,4771,11,radio/TV,0,433.72727272727275,mature,1,1,1,1
39,male,1,own,unknown,unknown,9436,54,car,0,174.74074074074073,mature,0,1,0,0
22,male,2,own,little,moderate,3832,30,furniture/equipment,0,127.73333333333333,young,1,1,1,1
44,female,2,own,unknown,unknown,5943,24,radio/TV,1,247.625,mature,1,1,0,0
47,male,2,own,quite rich,unknown,1213,15,radio/TV,0,80.86666666666666,mature,1,1,1,0
24,female,1,rent,moderate,unknown,1568,18,business,0,87.11111111111111,young,0,0,1,0
58,female,1,own,little,little,1755,24,vacation/others,0,73.125,mature,0,1,1,1
52,male,1,own,little,little,2315,10,radio/TV,0,231.5,mature,0,1,1,1
29,female,3,own,little,unknown,1412,12,business,0,117.66666666666667,mature,1,1,1,0
27,female,2,own,little,moderate,1295,18,furniture/equipment,0,71.94444444444444,mature,1,1,1,1
47,male,2,free,moderate,moderate,12612,36,education,1,350.3333333333333,mature,1,0,1,1
30,male,3,own,moderate,little,2249,18,car,0,124.94444444444444,mature,1,1,1,1
28,male,2,own,little,little,1108,12,repairs,1,92.33333333333333,mature,1,1,1,1
56,male,2,own,little,unknown,618,12,radio/TV,0,51.5,mature,1,1,1,0
54,male,2,own,little,little,1409,12,car,0,117.41666666666667,mature,1,1,1,1
33,female,1,own,unknown,unknown,797,12,radio/TV,1,66.41666666666667,mature,0,1,0,0
20,male,2,rent,unknown,rich,3617,24,furniture/equipment,0,150.70833333333334,young,1,0,0,1
54,male,2,own,rich,moderate,1318,12,car,0,109.83333333333333,mature,1,1,1,1
58,male,2,rent,little,moderate,15945,54,business,1,295.27777777777777,mature,1,0,1,1
61,female,2,own,unknown,unknown,2012,12,education,0,167.66666666666666,senior,1,1,0,0
34,male,2,own,moderate,moderate,2622,18,business,0,145.66666666666666,mature,1,1,1,1
36,male,2,own,little,moderate,2337,36,radio/TV,0,64.91666666666667,mature,1,1,1,1
36,male,3,rent,unknown,moderate,7057,20,car,0,352.85,mature,1,0,0,1
41,male,1,rent,moderate,unknown,1469,24,car,0,61.208333333333336,mature,0,0,1,0
24,male,2,rent,little,moderate,2323,36,radio/TV,0,64.52777777777777,young,1,0,1,1
24,female,2,own,little,unknown,932,6,radio/TV,0,155.33333333333334,young,1,1,1,0
35,male,2,rent,little,moderate,1919,9,furniture/equipment,0,213.22222222222223,mature,1,0,1,1
26,male,2,rent,unknown,unknown,2445,12,car,0,203.75,mature,1,0,0,0
39,male,3,own,little,moderate,11938,24,vacation/others,1,497.4166666666667,mature,1,1,1,1
39,male,3,own,little,unknown,6458,18,car,1,358.77777777777777,mature,1,1,1,0
32,male,2,own,little,moderate,6078,12,car,0,506.5,mature,1,1,1,1
30,female,2,own,unknown,little,7721,24,furniture/equipment,0,321.7083333333333,mature,1,1,0,1
35,male,2,own,quite rich,moderate,1410,14,business,0,100.71428571428571,mature,1,1,1,1
31,male,2,own,moderate,moderate,1449,6,business,0,241.5,mature,1,1,1,1
23,female,2,rent,little,rich,392,15,education,0,26.133333333333333,young,1,0,1,1
28,male,1,rent,little,moderate,6260,18,car,0,347.77777777777777,mature,0,0,1,1
25,female,2,own,little,unknown,7855,36,car,1,218.19444444444446,mature,1,1,1,0
35,male,2,own,quite rich,little,1680,12,radio/TV,0,140.0,mature,1,1,1,1
47,male,2,own,unknown,unknown,3578,48,radio/TV,0,74.54166666666667,mature,1,1,0,0
30,female,3,own,unknown,little,7174,42,radio/TV,1,170.8095238095238,mature,1,1,0,1
27,female,2,rent,unknown,little,2132,10,furniture/equipment,0,213.2,mature,1,0,0,1
23,female,2,own,quite rich,little,4281,33,furniture/equipment,1,129.72727272727272,young,1,1,1,1
36,male,3,own,quite rich,moderate,2366,12,car,0,197.16666666666666,mature,1,1,1,1
25,female,2,own,little,little,1835,21,radio/TV,1,87.38095238095238,mature,1,1,1,1
41,female,3,rent,little,unknown,3868,24,car,0,161.16666666666666,mature,1,0,1,0
24,male,1,rent,little,unknown,1768,12,furniture/equipment,0,147.33333333333334,young,0,0,1,0
63,male,2,free,little,rich,781,10,car,0,78.1,senior,1,0,1,1
27,female,2,rent,unknown,moderate,1924,18,furniture/equipment,1,106.88888888888889,mature,1,0,0,1
30,male,2,own,little,little,2121,12,car,0,176.75,mature,1,1,1,1
40,male,1,own,little,little,701,12,radio/TV,0,58.416666666666664,mature,0,1,1,1
30,male,2,own,little,moderate,639,12,repairs,1,53.25,mature,1,1,1,1
34,male,3,own,little,moderate,1860,12,car,0,155.0,mature,1,1,1,1
29,female,2,own,little,little,3499,12,car,1,291.5833333333333,mature,1,1,1,1
24,female,2,own,unknown,moderate,8487,48,car,0,176.8125,young,1,1,0,1
29,male,2,own,little,little,6887,36,education,1,191.30555555555554,mature,1,1,1,1
27,male,1,own,little,unknown,2708,15,furniture/equipment,0,180.53333333333333,mature,0,1,1,0
47,male,2,free,little,unknown,1984,18,furniture/equipment,0,110.22222222222223,mature,1,0,1,0
21,female,2,own,moderate,unknown,10144,60,radio/TV,0,169.06666666666666,young,1,1,1,0
38,female,2,own,unknown,unknown,1240,12,radio/TV,0,103.33333333333333,mature,1,1,0,0
27,male,2,own,rich,unknown,8613,27,car,0,319.0,mature,1,1,1,0
66,male,1,own,quite rich,moderate,766,12,radio/TV,1,63.833333333333336,senior,0,1,1,1
35,male,2,own,unknown,moderate,2728,15,radio/TV,0,181.86666666666667,mature,1,1,0,1
44,female,1,rent,little,rich,1881,12,radio/TV,0,156.75,mature,0,0,1,1
27,male,0,own,rich,rich,709,6,car,0,118.16666666666667,mature,0,1,1,1
30,female,3,own,little,moderate,4795,36,radio/TV,0,133.19444444444446,mature,1,1,1,1
27,male,3,own,little,little,3416,27,radio/TV,0,126.51851851851852,mature,1,1,1,1
22,male,2,own,little,little,2462,18,furniture/equipment,1,136.77777777777777,young,1,1,1,1
23,female,2,own,little,unknown,2288,21,furniture/equipment,0,108.95238095238095,young,1,1,1,0
30,male,2,own,moderate,moderate,3566,48,business,0,74.29166666666667,mature,1,1,1,1
39,female,2,own,little,little,860,6,car,0,143.33333333333334,mature,1,1,1,1
51,female,2,own,moderate,unknown,682,12,car,0,56.833333333333336,mature,1,1,1,0
28,male,2,own,little,little,5371,36,furniture/equipment,0,149.19444444444446,mature,1,1,1,1
46,male,2,own,rich,unknown,1582,18,radio/TV,0,87.88888888888889,mature,1,1,1,0
42,male,2,free,moderate,unknown,1346,6,radio/TV,0,224.33333333333334,mature,1,0,1,0
38,male,2,own,little,unknown,1924,10,radio/TV,0,192.4,mature,1,1,1,0
24,male,2,own,little,rich,5848,36,radio/TV,0,162.44444444444446,young,1,1,1,1
29,female,2,rent,rich,moderate,7758,24,car,0,323.25,mature,1,0,1,1
36,male,3,rent,moderate,moderate,6967,24,business,0,290.2916666666667,mature,1,0,1,1
20,female,2,rent,little,little,1282,12,furniture/equipment,1,106.83333333333333,young,1,0,1,1
48,male,2,own,moderate,little,1288,9,repairs,0,143.11111111111111,mature,1,1,1,1
45,male,1,own,little,little,339,12,education,0,28.25,mature,0,1,1,1
38,male,2,own,moderate,moderate,3512,24,car,0,146.33333333333334,mature,1,1,1,1
34,male,1,own,unknown,unknown,1898,6,radio/TV,0,316.3333333333333,mature,0,1,0,0
36,male,2,own,moderate,unknown,2872,24,radio/TV,0,119.66666666666667,mature,1,1,1,0
30,female,2,own,little,unknown,1055,18,car,0,58.611111111111114,mature,1,1,1,0
36,male,2,own,quite rich,unknown,1262,15,domestic appliances,0,84.13333333333334,mature,1,1,1,0
70,male,3,free,little,moderate,7308,10,car,0,730.8,senior,1,0,1,1
36,male,2,own,quite rich,unknown,909,36,car,0,25.25,mature,1,1,1,0
32,male,2,own,quite rich,unknown,2978,6,furniture/equipment,0,496.3333333333333,mature,1,1,1,0
33,female,2,own,little,little,1131,18,furniture/equipment,1,62.833333333333336,mature,1,1,1,1
20,female,2,own,rich,moderate,1577,11,furniture/equipment,0,143.36363636363637,young,1,1,1,1
25,female,2,rent,little,unknown,3972,24,furniture/equipment,0,165.5,mature,1,0,1,0
31,male,2,own,little,moderate,1935,24,business,1,80.625,mature,1,1,1,1
33,male,2,rent,little,little,950,15,car,1,63.333333333333336,mature,1,0,1,1
26,female,2,own,little,unknown,763,12,furniture/equipment,0,63.583333333333336,mature,1,1,1,0
34,female,3,own,little,moderate,2064,24,furniture/equipment,1,86.0,mature,1,1,1,1
33,male,2,own,little,moderate,1414,8,radio/TV,0,176.75,mature,1,1,1,1
26,male,2,own,little,little,3414,21,education,1,162.57142857142858,mature,1,1,1,1
53,female,3,own,unknown,unknown,7485,30,car,1,249.5,mature,1,1,0,0
42,male,2,own,little,little,2577,12,furniture/equipment,0,214.75,mature,1,1,1,1
52,male,2,own,quite rich,little,338,6,radio/TV,0,56.333333333333336,mature,1,1,1,1
31,male,3,rent,little,unknown,1963,12,radio/TV,0,163.58333333333334,mature,1,0,1,0
65,male,2,own,little,little,571,21,car,0,27.19047619047619,senior,1,1,1,1
28,male,2,own,little,unknown,9572,36,business,1,265.8888888888889,mature,1,1,1,0
30,male,3,own,little,moderate,4455,36,business,1,123.75,mature,1,1,1,1
40,male,1,own,unknown,little,1647,21,car,1,78.42857142857143,mature,0,1,0,1
50,male,2,own,rich,unknown,3777,24,furniture/equipment,0,157.375,mature,1,1,1,0
36,male,2,own,little,moderate,884,18,car,1,49.111111111111114,mature,1,1,1,1
31,male,2,own,little,unknown,1360,15,radio/TV,0,90.66666666666667,mature,1,1,1,0
74,female,3,free,little,moderate,5129,9,car,1,569.8888888888889,senior,1,0,1,1
68,male,0,free,little,moderate,1175,16,car,0,73.4375,senior,0,0,1,1
20,male,2,own,moderate,little,674,12,radio/TV,1,56.166666666666664,young,1,1,1,1
33,female,2,own,little,moderate,3244,18,furniture/equipment,0,180.22222222222223,mature,1,1,1,1
54,male,3,own,rich,unknown,4591,24,business,1,191.29166666666666,mature,1,1,1,0
34,male,1,free,moderate,moderate,3844,48,business,1,80.08333333333333,mature,0,0,1,1
36,male,2,own,little,moderate,3915,27,business,1,145.0,mature,1,1,1,1
29,male,2,rent,little,unknown,2108,6,radio/TV,0,351.3333333333333,mature,1,0,1,0
21,male,2,rent,moderate,moderate,3031,45,radio/TV,1,67.35555555555555,young,1,0,1,1
34,female,3,own,little,moderate,1501,9,education,1,166.77777777777777,mature,1,1,1,1
28,female,2,own,little,unknown,1382,6,radio/TV,0,230.33333333333334,mature,1,1,1,0
27,female,2,rent,moderate,moderate,951,12,furniture/equipment,1,79.25,mature,1,0,1,1
36,male,2,free,unknown,moderate,2760,24,car,0,115.0,mature,1,0,0,1
40,male,3,own,little,moderate,4297,18,furniture/equipment,1,238.72222222222223,mature,1,1,1,1
52,male,2,own,quite rich,unknown,936,9,education,0,104.0,mature,1,1,1,0
27,male,1,own,little,little,1168,12,car,0,97.33333333333333,mature,0,1,1,1
26,male,2,own,little,unknown,5117,27,business,0,189.5185185185185,mature,1,1,1,0
21,male,2,rent,little,little,902,12,education,1,75.16666666666667,young,1,0,1,1
38,male,1,own,little,unknown,1495,12,car,0,124.58333333333333,mature,0,1,1,0
38,male,3,free,little,little,10623,30,car,0,354.1,mature,1,0,1,1
43,male,2,own,little,unknown,1935,12,furniture/equipment,0,161.25,mature,1,1,1,0
26,male,2,own,little,moderate,1424,12,domestic appliances,0,118.66666666666667,mature,1,1,1,1
21,male,1,own,little,little,6568,24,business,0,273.6666666666667,young,0,1,1,1
55,male,2,own,rich,unknown,1413,12,car,0,117.75,mature,1,1,1,0
33,male,2,own,unknown,unknown,3074,9,radio/TV,0,341.55555555555554,mature,1,1,0,0
45,female,1,own,unknown,unknown,3835,36,radio/TV,0,106.52777777777777,mature,0,1,0,0
50,male,2,own,little,little,5293,27,business,1,196.03703703703704,mature,1,1,1,1
66,male,3,own,little,rich,1908,30,business,1,63.6,senior,1,1,1,1
51,male,2,own,unknown,unknown,3342,36,radio/TV,0,92.83333333333333,mature,1,1,0,0
39,female,1,own,unknown,moderate,932,6,education,0,155.33333333333334,mature,0,1,0,1
31,male,2,own,little,little,3104,18,business,0,172.44444444444446,mature,1,1,1,1
23,male,2,own,little,rich,3913,36,radio/TV,0,108.69444444444444,young,1,1,1,1
24,male,1,rent,little,little,3021,24,furniture/equipment,0,125.875,young,0,0,1,1
64,female,2,own,little,unknown,1364,10,car,0,136.4,senior,1,1,1,0
26,male,1,own,little,moderate,625,12,radio/TV,0,52.083333333333336,mature,0,1,1,1
23,female,2,rent,unknown,little,1200,12,education,0,100.0,young,1,0,0,1
30,male,2,own,little,unknown,707,12,radio/TV,0,58.916666666666664,mature,1,1,1,0
32,male,2,own,unknown,unknown,2978,24,business,0,124.08333333333333,mature,1,1,0,0
30,male,2,own,little,unknown,4657,15,car,0,310.46666666666664,mature,1,1,1,0
27,male,2,own,little,unknown,2613,36,repairs,0,72.58333333333333,mature,1,1,1,0
27,male,2,own,rich,moderate,10961,48,radio/TV,1,228.35416666666666,mature,1,1,1,1
53,male,3,free,little,little,7865,12,furniture/equipment,1,655.4166666666666,mature,1,0,1,1
22,male,2,own,little,unknown,1478,9,radio/TV,1,164.22222222222223,young,1,1,1,0
22,male,2,free,little,little,3149,24,furniture/equipment,0,131.20833333333334,young,1,0,1,1
26,male,2,own,little,rich,4210,36,radio/TV,1,116.94444444444444,mature,1,1,1,1
51,male,1,free,quite rich,unknown,2507,9,car,0,278.55555555555554,mature,0,0,1,0
35,male,2,own,moderate,unknown,2141,12,radio/TV,0,178.41666666666666,mature,1,1,1,0
25,male,1,own,little,moderate,866,18,radio/TV,0,48.111111111111114,mature,0,1,1,1
42,male,1,own,little,unknown,1544,4,radio/TV,0,386.0,mature,0,1,1,0
30,male,3,own,little,little,1823,24,radio/TV,1,75.95833333333333,mature,1,1,1,1
23,male,0,own,unknown,moderate,14555,6,car,1,2425.8333333333335,young,0,1,0,1
61,male,1,rent,moderate,moderate,2767,21,business,1,131.76190476190476,senior,0,0,1,1
35,female,2,own,little,unknown,1291,12,radio/TV,0,107.58333333333333,mature,1,1,1,0
39,male,2,own,little,little,2522,30,radio/TV,0,84.06666666666666,mature,1,1,1,1
29,female,2,own,unknown,little,915,24,car,1,38.125,mature,1,1,0,1
51,male,2,own,little,unknown,1595,6,radio/TV,0,265.8333333333333,mature,1,1,1,0
24,male,2,free,little,little,4605,48,car,1,95.9375,young,1,0,1,1
27,female,2,own,little,unknown,1185,12,business,0,98.75,mature,1,1,1,0
35,female,1,own,quite rich,unknown,3447,12,education,0,287.25,mature,0,1,1,0
25,male,2,own,little,unknown,1258,24,business,0,52.416666666666664,mature,1,1,1,0
52,male,2,own,little,unknown,717,12,radio/TV,0,59.75,mature,1,1,1,0
